DEPARTURE_ARRIVAL_DURATION,ARRIVAL_DEPARTURE_DURATION,STOPOVERS,VESSEL_TYPE,HULL_MATERIAL,VESSEL_LENGTH,VESSEL_BEAN,VESSEL_DRAFT,VESSEL_DEPTH,MOTOR_POWER,SPEED,NUM_PROPELLERS,NUM_GENERATORS,TPB,LIGHT_DISPLACEMENT,CREW,PASS_CAPACITY,LOAD_CAPACITY,FUEL_CONSUMPTION
46800.0,46800.0,0,PASSENGER/GENERAL_LOAD,WOOD,20.0,5.5,1.5,2.1,160.0,12.0,2,1.0,,,4,65.0,35.0,800.0
2880.0,2160.0,1,PASSENGER/GENERAL_LOAD,WOOD,24.3,7.0,1.8,2.2,400.0,15.0,1,1.0,,,6,100.0,100.0,3700.0
64800.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,20.0,5.0,1.8,2.8,140.0,10.0,2,1.0,,,3,50.0,70.0,1600.0
32400.0,28800.0,0,FLAT_BOTTOMED_BOAT,WOOD,25.5,7.6,1.82,2.15,460.0,14.0,1,1.0,,,3,121.0,60.0,1400.0
14340.0,12813.0,0,FLAT_BOTTOMED_BOAT,WOOD,29.0,7.0,2.8,3.3,315.0,10.0,2,1.0,,,4,80.0,100.0,17000.0
46800.0,36000.0,1,PASSENGER/GENERAL_LOAD,WOOD,23.0,5.5,1.5,2.5,160.0,12.0,1,1.0,,,3,40.0,40.0,650.0
9000.0,9000.0,0,PASSENGER/GENERAL_LOAD,WOOD,16.0,4.5,1.2,1.9,114.0,12.0,1,1.0,,,2,32.0,16.0,360.0
25200.0,25200.0,0,PASSENGER/GENERAL_LOAD,WOOD,19.0,5.0,1.3,2.0,140.0,15.0,2,1.0,,,3,50.0,25.0,840.0
1080.0,720.0,1,PASSENGER/GENERAL_LOAD,WOOD,22.15,6.3,1.5,2.3,306.0,12.0,1,2.0,,,5,95.0,80.0,1100.0
480.0,480.0,0,PASSENGER/GENERAL_LOAD,WOOD,20.0,6.0,1.3,2.1,250.0,10.0,2,1.0,,,5,60.0,70.0,900.0
4800.0,4800.0,2,PASSENGER/GENERAL_LOAD,WOOD,23.5,5.5,1.66,2.1,362.0,15.0,2,2.0,,,6,79.0,30.0,4600.0
54000.0,54000.0,1,PASSENGER/GENERAL_LOAD,WOOD,21.5,6.75,1.5,2.2,250.0,12.0,2,1.0,,,4,40.0,30.0,800.0
4800.0,4800.0,0,PASSENGER/GENERAL_LOAD,WOOD,25.0,7.0,2.5,3.0,300.0,10.0,1,2.0,,,5,170.0,20.0,6000.0
43200.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,23.0,5.5,1.5,1.8,315.0,12.0,2,2.0,,,3,70.0,60.0,1600.0
7200.0,4800.0,0,PASSENGER/GENERAL_LOAD,WOOD,33.0,7.4,2.8,3.4,370.0,11.0,1,1.0,,,7,220.0,122.0,11000.0
9600.0,7200.0,2,PASSENGER/GENERAL_LOAD,WOOD,39.0,6.8,1.8,2.8,210.0,13.0,2,2.0,,,6,92.0,70.0,10000.0
9600.0,9600.0,1,PASSENGER/GENERAL_LOAD,WOOD,29.6,7.4,2.5,3.0,367.0,12.0,2,2.0,,,6,120.0,150.0,12000.0
43200.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,25.6,6.3,1.8,2.2,315.0,15.0,1,2.0,,,3,90.0,60.0,1600.0
2280.0,2280.0,0,PASSENGER/GENERAL_LOAD,WOOD,31.5,6.13,1.4,1.65,450.0,18.0,3,1.0,,,6,107.0,58.0,4000.0
1500.0,1500.0,0,PASSENGER/GENERAL_LOAD,WOOD,32.0,8.0,2.4,3.0,400.0,20.0,3,1.0,,,7,126.0,288.0,3900.0
7200.0,7200.0,0,PASSENGER/GENERAL_LOAD,WOOD,33.0,6.5,2.5,2.8,367.0,12.0,1,3.0,,,14,115.0,95.0,10000.0
1560.0,1560.0,3,FERRY_BOAT,NAVAL_STEEL,58.0,13.0,1.15,2.9,1200.0,14.0,2,2.0,,,10,330.0,890.0,700.0
32400.0,32400.0,0,PASSENGER/GENERAL_LOAD,WOOD,24.0,7.0,1.0,1.7,190.0,10.0,3,3.0,,,4,85.0,95.0,1220.0
9600.0,7200.0,2,PASSENGER/GENERAL_LOAD,WOOD,28.0,7.4,1.5,1.75,367.0,14.0,2,2.0,,,5,130.0,90.0,9000.0
21600.0,18000.0,0,PASSENGER/GENERAL_LOAD,WOOD,17.6,4.2,1.8,1.8,612.0,15.0,1,1.0,,,2,60.0,19.0,360.0
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,18.0,4.3,1.0,3.0,114.0,17.0,1,3.0,,,3,40.0,12.0,120.0
50400.0,50400.0,3,PASSENGER/GENERAL_LOAD,WOOD,27.5,6.0,1.8,2.0,373.0,20.0,1,2.0,,,4,100.0,85.0,1200.0
14400.0,10800.0,0,PASSENGER/GENERAL_LOAD,WOOD,12.0,3.6,1.2,2.3,114.0,15.0,1,1.0,,,2,37.0,12.0,160.0
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,19.5,4.5,1.0,1.9,114.0,30.0,1,1.0,,,3,53.0,22.0,440.0
39600.0,39600.0,4,PASSENGER/GENERAL_LOAD,WOOD,21.0,5.8,1.6,2.6,160.0,17.0,1,2.0,,,4,77.0,30.0,1000.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,19.0,4.6,1.2,2.0,114.0,17.0,2,2.0,,,3,45.0,18.0,120.0
25200.0,32400.0,0,PASSENGER/GENERAL_LOAD,WOOD,24.0,6.0,1.9,2.75,315.0,13.0,1,2.0,,,4,82.0,120.0,900.0
25200.0,18000.0,0,PASSENGER/GENERAL_LOAD,WOOD,21.8,5.6,1.1,1.8,200.0,10.0,2,2.0,,,4,80.0,50.0,300.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,23.6,3.7,1.6,2.0,160.0,25.0,1,1.0,,,3,66.0,14.0,110.0
10800.0,10800.0,0,PASSENGER/GENERAL_LOAD,WOOD,21.7,5.5,1.7,2.0,200.0,10.0,1,2.0,,,4,89.0,60.0,300.0
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,18.3,3.75,1.2,1.7,160.0,15.0,1,0.0,,,2,40.0,10.0,160.0
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,17.75,4.42,1.0,1.33,750.0,15.0,1,1.0,,,5,36.0,20.0,440.0
25200.0,25200.0,1,CATAMARAN,FIBER,17.0,5.7,1.5,2.25,475.0,23.0,2,5.0,,,4,106.0,0.0,2200.0
39600.0,36000.0,1,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,47.5,8.18,2.01,2.55,270.0,15.0,4,2.0,,,8,402.0,400.0,1600.0
39600.0,36000.0,2,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,51.4,7.52,2.0,2.45,715.0,25.0,2,2.0,,,9,557.0,520.0,7000.0
18000.0,18000.0,1,PASSENGER/GENERAL_LOAD,WOOD,20.0,4.2,1.8,2.5,200.0,17.0,2,2.0,,,4,40.0,50.0,500.0
21600.0,21600.0,0,MOTORBOAT,WOOD,22.0,5.1,1.5,1.9,375.0,20.0,1,2.0,,,4,81.0,55.0,600.0
